Agro-ecological zones,Administrative areas,Agricultural practices,Additional Information,Planting period - onset,Planting period - end,Sowing / Planting rate,Sowing/Planting rate unit,Length of the cropping cycle,cropping cycle(months),Harvesting period - onset,Harvesting period - end,Min Temp,Max Temp,Min_Rain,Max_Rain,Min_Rain_Growing,Max_Rain_Growing
Upper midland zone 4 (UM4),"Western province (Kakamega, Bungoma), Eastern province (Embu, Meru, Machakos, Kitui), Central province (Kiambu, Nyeri, Muranga, Kirinyaga), Rift valley province (Nandi, Kericho, T/Nzoia, Uasin Gishu, W/pokot, Keiyo/Marakwet, Baringo, Nakuru, Narok, Kajiad","Maize and sunflower farming good under unimodal rainfall, but fair under bimodal. Sisal farming in upper zone under large scale.",Second season,01/10,15/10,3,kg/ha,90-120 days,4.0,15/01,15/02,10.0,30.0,250.0,1000.0,450.0,650.0
Lower midland zone 2 (LM2),"Nyanza province (Siaya, Kisumu), Western province (Kakamega, Busia, Bungoma), Nandi, Narok.","Sugarcane farming marginal, maize farming.",,01/04,15/04,5,kg/ha,70-90 days,3.0,01/07,31/07,30.0,34.0,250.0,900.0,450.0,650.0
Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,First season,01/04,31/03,5,kg/ha,70-90 days,3.0,15/06,15/07,30.0,34.0,250.0,900.0,450.0,650.0
Lower midland zone 3 (LM3),"Nyanza province (Siaya, Kisumu), Western province (Busia, Bungoma), Eastern province (Embu, Meru, Machakos), Central province (Muranga, Kirinyaga)",Maize and Cotton farming. Irrigated rice farming,Second season,01/10,31/10,5,kg/ha,70-90 days,3.0,15/01,31/01,30.0,34.0,250.0,900.0,450.0,650.0
Lower midland zone 4 (LM4),"Nyanza province (Siaya, Kisumu), Western province (Busia), Eastern province (Embu, Meru, Machakos, KItui), Central province (Kiambu, Muranga, Kirinyaga), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Kajiado), Taita Taveta","Maize, pigeon pea and sisal farming. Marginal cotton farming.",First season,01/04,31/03,5,kg/ha,70-90 days,3.0,15/06,15/07,30.0,34.0,250.0,900.0,450.0,650.0
Lower midland zone 4 (LM4),"Nyanza province (Siaya, Kisumu), Western province (Busia), Eastern province (Embu, Meru, Machakos, KItui), Central province (Kiambu, Muranga, Kirinyaga), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Kajiado), Taita Taveta","Maize, pigeon pea and sisal farming. Marginal cotton farming.",Second season,01/10,31/10,5,kg/ha,70-90 days,3.0,15/01,31/01,30.0,34.0,250.0,900.0,450.0,650.0
Lower midland zone 5 (LM5),"Eastern province (Embu, Meru, Machakos, KItui), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Samburu, Kajiado), Taita Taveta","Millet, Cowpeas and grams growing fair. Fair sisal farming climatic condition. Livestock grazing at low density.",First season,15/03,31/03,5,kg/ha,70-90 days,3.0,15/06,15/07,30.0,34.0,250.0,900.0,450.0,650.0
Lower midland zone 5 (LM5),"Eastern province (Embu, Meru, Machakos, KItui), Rift valley province (W/pokot, Keiyo/Marakwet, Baringo, Samburu, Kajiado), Taita Taveta","Millet, Cowpeas and grams growing fair. Fair sisal farming climatic condition. Livestock grazing at low density.",Second season,01/10,31/10,5,kg/ha,70-90 days,3.0,15/01,31/01,30.0,34.0,250.0,900.0,450.0,650.0
Lowerland zone 3 (L3),"Coast province (Kwale, Kilifi, Tana River, Lamu)","Cassava, coconut, cotton farming.",,01/04,15/04,5,kg/ha,70-90 days,3.0,01/07,31/07,30.0,34.0,250.0,900.0,450.0,650.0
Lowerland zone 4 (L4),"Coast province (Kwale, Kilifi, Tana River, Lamu)",Cassava and cashew nut farming. Marginal climatic condition for cotton and coconut. Large scale sisal farming.,First season,15/03,31/03,5,kg/ha,70-90 days,3.0,15/06,15/07,30.0,34.0,250.0,900.0,450.0,650.0
